YEAR,CAUSE_NAME,region,DEATHS,AADR
2006,Cancer,Alaska,790,177.76
2006,Cancer,Arizona,9919,159.96
2006,Cancer,Arkansas,6177,196.74
2006,Cancer,California,54140,164.53
2006,Cancer,Colorado,6550,157.52
2006,Cancer,Connecticut,7044,175.46
2006,Cancer,Delaware,1780,190.7
2006,Cancer,District of Columbia,1178,210.45
2006,Cancer,Florida,40415,174.6
2006,Cancer,Georgia,14474,184.01
2006,Cancer,Hawaii,2171,147.78
2006,Cancer,Idaho,2306,163.24
2006,Cancer,Illinois,24084,188.66
2006,Cancer,Indiana,12903,197.53
2006,Cancer,Iowa,6359,178.96
2006,Cancer,Kansas,5343,180.11
2006,Cancer,Kentucky,9394,211.98
2006,Cancer,Louisiana,8853,206.12
2006,Cancer,Maine,3089,192.71
2006,Cancer,Maryland,10350,187
2006,Cancer,Massachusetts,13407,187.45
2006,Cancer,Michigan,20192,190.48
2006,Cancer,Minnesota,9079,170.69
2006,Cancer,Mississippi,6236,212.66
2006,Cancer,Missouri,12519,195.82
2006,Cancer,Montana,1943,177.89
2006,Cancer,Nebraska,3430,176.63
2006,Cancer,Nevada,4226,184.47
2006,Cancer,New Hampshire,2534,183.91
2006,Cancer,New Jersey,17180,183.04
2006,Cancer,New Mexico,3147,158.49
2006,Cancer,New York,35284,170.88
2006,Cancer,North Carolina,17318,191.39
2006,Cancer,North Dakota,1387,180.21
2006,Cancer,Ohio,24975,197.3
2006,Cancer,Oklahoma,7491,195.18
2006,Cancer,Oregon,7309,180.92
2006,Cancer,Pennsylvania,29172,190.5
2006,Cancer,Rhode Island,2250,181.42
2006,Cancer,South Carolina,8853,194.7
2006,Cancer,South Dakota,1570,173.07
2006,Cancer,Tennessee,13051,204.64
2006,Cancer,Texas,34939,176.1
2006,Cancer,Utah,2615,139.85
2006,Cancer,Vermont,1214,172.64
2006,Cancer,Virginia,13829,185.25
2006,Cancer,Washington,11055,175.33
2006,Cancer,West Virginia,4613,203.63
2006,Cancer,Wisconsin,10925,179.9
2006,Cancer,Wyoming,927,174.64
2007,Cancer,Alabama,10025,198.67
2007,Cancer,Alaska,839,182.61
2007,Cancer,Arizona,10134,158.89
2007,Cancer,Arkansas,6388,201.28
2007,Cancer,California,55011,163.81
2007,Cancer,Colorado,6617,154.08
2007,Cancer,Connecticut,6827,167.23
2007,Cancer,Delaware,1853,193.52
2007,Cancer,District of Columbia,1169,208.19
2007,Cancer,Florida,40088,169.82
2007,Cancer,Georgia,14983,185.52
2007,Cancer,Hawaii,2214,147.99
2007,Cancer,Idaho,2405,166.26
2007,Cancer,Illinois,24115,186.57
2007,Cancer,Indiana,12778,192.6
2007,Cancer,Iowa,6376,176.84
2007,Cancer,Kansas,5406,179.22
2007,Cancer,Kentucky,9692,214.73
2007,Cancer,Louisiana,8736,199.3
2007,Cancer,Maine,3112,189.87
2007,Cancer,Maryland,10179,180.45
2007,Cancer,Massachusetts,13003,179.51
2007,Cancer,Michigan,20087,186.38
2007,Cancer,Minnesota,9176,168.67
2007,Cancer,Mississippi,6002,201.8
2007,Cancer,Missouri,12380,190.89
2007,Cancer,Montana,1921,170.73
2007,Cancer,Nebraska,3479,176.56
2007,Cancer,Nevada,4331,180.76
2007,Cancer,New Hampshire,2609,184.68
2007,Cancer,New Jersey,17096,180.09
2007,Cancer,New Mexico,3238,158.07
2007,Cancer,New York,35485,169.8
2007,Cancer,North Carolina,17478,187.11
2007,Cancer,North Dakota,1264,162.61
2007,Cancer,Ohio,25230,196.33
2007,Cancer,Oklahoma,7727,198.48
2007,Cancer,Oregon,7393,178.8
2007,Cancer,Pennsylvania,29014,186.93
2007,Cancer,Rhode Island,2213,178.36
2007,Cancer,South Carolina,8867,188.47
2007,Cancer,South Dakota,1612,174.28
2007,Cancer,Tennessee,13161,201.57
2007,Cancer,Texas,35074,171.89
2007,Cancer,Utah,2572,133.24
2007,Cancer,Vermont,1346,188.58
2007,Cancer,Virginia,14009,184.03
2007,Cancer,Washington,11568,178.96
2007,Cancer,West Virginia,4690,204.33
2007,Cancer,Wisconsin,10963,177.22
2007,Cancer,Wyoming,940,172.93
2008,Cancer,Alabama,10182,197.48
2008,Cancer,Alaska,867,181.05
2008,Cancer,Arizona,10081,153.22
2008,Cancer,Arkansas,6526,201.38
2008,Cancer,California,54686,158.83
2008,Cancer,Colorado,6719,150.9
2008,Cancer,Connecticut,6830,164.75
2008,Cancer,Delaware,1912,193.26
2008,Cancer,District of Columbia,1143,201.62
2008,Cancer,Florida,40814,169.54
2008,Cancer,Georgia,14621,175.07
2008,Cancer,Hawaii,2194,142.51
2008,Cancer,Idaho,2511,166.68
2008,Cancer,Illinois,24300,185.02
2008,Cancer,Indiana,13137,194.28
2008,Cancer,Iowa,6424,177.1
2008,Cancer,Kansas,5294,173.07
2008,Cancer,Kentucky,9589,207.81
2008,Cancer,Louisiana,9197,205.68
2008,Cancer,Maine,3093,185
